"PMID"	"First author"	"CITY"	"GEOLONG"	"GEOLAT"	"COUNTRY"	"#SAMPLES"		"PMID"
10095431	"Brinkschmidt C"	"Muenster"	7.63	51.96	"Germany"	20		10095431
10095435	"Otaño-Joos M"	"Heidelberg"	8.69	49.41	"Germany"	14		10095435
10095436	"Brinkschmidt C"	"Muenster"	7.63	51.96	"Germany"	8		10095436
10096241	"Tarkkanen M"	"Helsinki"	24.94	60.17	"Finland"	23		10096241
10100147	"Lu YJ"	"Beijing"	116.4	39.91	"China"	11		10100147
10206302	"Avet-Loiseau H"	"Nantes"	-1.55	47.22	"France"	23		10206302
10209483	"Hermsen MA"	"Amsterdam"	4.89	52.37	"Netherlands"	53		10209483
10213495	"Du Plessis L"	"Cape Town"	18.42	-33.93	"South Africa"	58		10213495
10214356	"Aubele M"	"Oberschleissheim"	11.56	48.25	"Germany"	23		10214356
10222437	"Ozaki S"	"Yamaguchi-shi"	131.47	34.19	"Japan"	20		10222437
10226518	"Mahdy E"	"Uppsala"	17.64	59.86	"Sweden"	6		10226518
10329606	"Hemmer S"	"Helsinki"	24.94	60.17	"Finland"	69		10329606
10337990	"Korn WM"	"San Francisco"	-122.42	37.77	"United States"	12		10337990
10337993	"Aalto Y"	"Helsinki"	24.94	60.17	"Finland"	27		10337993
10337995	"Persson K"	"Lund"	13.19	55.71	"Sweden"	27		10337995
10338000	"Pack SD"	"Bethesda"	-77.1	38.98	"United States"	17		10338000
10338001	"Chen YJ"	"Taipei"	121.53	25.05	"Taiwan"	51		10338001
10339673	"Komoike Y"	"Osaka-shi"	135.5	34.69	"Japan"	11		10339673
10347130	"Kusano N"	"Yamaguchi-shi"	131.47	34.19	"Japan"	41		10347130
10347550	"Mairal A"	"Paris"	2.35	48.85	"France"	30		10347550
10361135	"Beà S"	"Barcelona"	2.16	41.39	"Spain"	45		10361135
10362807	"Willenbucher RF"	"San Francisco"	-122.42	37.77	"United States"	41		10362807
10365129	"Junker K"	"Jena"	11.59	50.93	"Germany"	20		10365129
